MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338102856,2019-09-08T06:01:28,31.16461,-81.41544,15.6,207.2,511.0,RESPONDER,,,31.0,0.0,10.0,3.0,,,A
367458950,2019-09-08T06:01:56,31.15703,-81.4996,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
338335542,2019-09-08T06:00:49,31.16743,-81.41487,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
538004697,2019-09-08T06:01:05,31.10595,-81.4564,9.8,293.7,296.0,EMERALD ACE,IMO9539236,V7YO3,70.0,0.0,199.0,32.0,9.7,70.0,A
369273000,2019-09-08T06:02:14,31.16042,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
338102861,2019-09-08T06:01:26,31.16589,-81.41439,0.9,149.0,511.0,RECOVERY,,,90.0,0.0,10.0,3.0,,,A
367094180,2019-09-08T06:02:00,31.15501,-81.49941,0.0,223.8,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
538004697,2019-09-08T06:02:14,31.10722,-81.45973,9.7,293.0,293.0,EMERALD ACE,IMO9539236,V7YO3,70.0,0.0,199.0,32.0,9.7,70.0,A
367691290,2019-09-08T06:01:32,31.14209,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367569620,2019-09-08T06:01:45,31.1672,-81.41447,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
338184094,2019-09-08T06:01:59,31.155,-81.49956,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367369550,2019-09-08T06:02:25,31.10676,-81.4395,12.0,77.8,79.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367691290,2019-09-08T05:59:52,31.1421,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
338235704,2019-09-08T06:01:11,31.11118,-81.35672,27.0,304.9,511.0,BRUNSWICK,IMO0000000,,50.0,,15.0,5.0,,,B
367305420,2019-09-08T06:01:17,31.11145,-81.42642,10.6,38.0,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
538007762,2019-09-08T06:01:22,31.12753,-81.4031,0.0,199.7,155.0,,,,,0.0,,,,,A
338102856,2019-09-08T06:02:29,31.15785,-81.42001,31.0,201.3,511.0,RESPONDER,,,31.0,0.0,10.0,3.0,,,A
538007762,2019-09-08T06:02:33,31.1275,-81.40309,0.0,199.7,155.0,,,,,0.0,,,,,A
367305420,2019-09-08T06:02:27,31.11419,-81.42401,10.6,40.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
