,MMSI,BaseDateTime,LAT,LON,SOG,COG
2480,338184094,2019-09-08T05:52:59,31.155,-81.49958,0.0,115.7
2498,338184094,2019-09-08T05:55:58,31.15499,-81.49959,0.0,115.7
2517,338184094,2019-09-08T05:58:59,31.15499,-81.49959,0.0,115.7
2548,338184094,2019-09-08T06:01:59,31.155,-81.49956,0.0,115.7
2578,338184094,2019-09-08T06:05:00,31.15498,-81.49956,0.0,115.7
2607,338184094,2019-09-08T06:07:59,31.155,-81.49957,0.0,115.7
2654,338184094,2019-09-08T06:11:00,31.15499,-81.49957,0.0,115.7
2679,338184094,2019-09-08T06:13:59,31.15499,-81.49957,0.0,115.7
2708,338184094,2019-09-08T06:16:59,31.155,-81.49956,0.0,115.7
2743,338184094,2019-09-08T06:19:59,31.155,-81.49957,0.0,115.7
2776,338184094,2019-09-08T06:22:59,31.15499,-81.49957,0.0,115.7
2803,338184094,2019-09-08T06:25:59,31.155,-81.49957,0.0,115.7
2817,338184094,2019-09-08T06:28:59,31.155,-81.49958,0.0,115.7
2837,338184094,2019-09-08T06:31:59,31.155,-81.49959,0.0,115.7
2895,338184094,2019-09-08T06:34:59,31.15501,-81.49959,0.0,115.7
2941,338184094,2019-09-08T06:41:00,31.155,-81.49958,0.0,115.7
2952,338184094,2019-09-08T06:43:59,31.155,-81.49958,0.0,115.7
2995,338184094,2019-09-08T06:46:59,31.155,-81.49958,0.0,115.7
3020,338184094,2019-09-08T06:50:01,31.15499,-81.49958,0.0,115.7
3051,338184094,2019-09-08T06:52:59,31.15501,-81.49958,0.0,115.7
3065,338184094,2019-09-08T06:55:59,31.15501,-81.49957,0.0,115.7
3083,338184094,2019-09-08T06:58:58,31.155,-81.49957,0.0,115.7
3152,338184094,2019-09-08T07:01:59,31.155,-81.49959,0.0,115.7
3163,338184094,2019-09-08T07:04:59,31.155,-81.49958,0.0,115.7
3210,338184094,2019-09-08T07:11:00,31.155,-81.49959,0.0,115.7
3214,338184094,2019-09-08T07:07:59,31.155,-81.49959,0.0,115.7
3239,338184094,2019-09-08T07:14:00,31.15501,-81.49958,0.0,115.7
3276,338184094,2019-09-08T07:16:59,31.155,-81.49958,0.0,115.7
3294,338184094,2019-09-08T07:19:59,31.15499,-81.49958,0.0,115.7
3355,338184094,2019-09-08T07:25:59,31.155,-81.49958,0.0,115.7
3362,338184094,2019-09-08T07:22:59,31.155,-81.49958,0.0,115.7
3391,338184094,2019-09-08T07:28:59,31.155,-81.49958,0.0,115.7
3422,338184094,2019-09-08T07:32:00,31.15501,-81.49957,0.0,115.7
3445,338184094,2019-09-08T07:35:00,31.155,-81.49957,0.0,115.7
3476,338184094,2019-09-08T07:37:59,31.15501,-81.49958,0.0,115.7
3511,338184094,2019-09-08T07:40:59,31.155,-81.49956,0.0,115.7
3541,338184094,2019-09-08T07:43:59,31.155,-81.49957,0.0,115.7
3554,338184094,2019-09-08T07:47:00,31.155,-81.49957,0.0,115.7
3591,338184094,2019-09-08T07:50:00,31.15501,-81.49957,0.0,115.7
3616,338184094,2019-09-08T07:52:59,31.15501,-81.49956,0.0,115.7
3653,338184094,2019-09-08T07:59:01,31.155,-81.49957,0.0,115.7
3687,338184094,2019-09-08T08:02:01,31.15499,-81.49957,0.0,115.7
3719,338184094,2019-09-08T08:05:01,31.15501,-81.49958,0.0,115.7
3750,338184094,2019-09-08T08:07:58,31.15501,-81.49958,0.0,115.7
3792,338184094,2019-09-08T08:11:02,31.15501,-81.49959,0.0,115.7
3855,338184094,2019-09-08T08:17:00,31.15501,-81.49959,0.0,115.7
3883,338184094,2019-09-08T08:19:59,31.155,-81.49957,0.0,115.7
3914,338184094,2019-09-08T08:22:59,31.15499,-81.49957,0.0,115.7
3966,338184094,2019-09-08T08:29:00,31.155,-81.49957,0.0,115.7
3971,338184094,2019-09-08T08:26:00,31.15499,-81.49956,0.0,115.7
4000,338184094,2019-09-08T08:31:59,31.155,-81.49957,0.0,115.7
4026,338184094,2019-09-08T08:34:59,31.15498,-81.49956,0.0,115.7
4058,338184094,2019-09-08T08:38:01,31.15499,-81.49957,0.0,115.7
4080,338184094,2019-09-08T08:40:59,31.15499,-81.49956,0.0,115.7
4107,338184094,2019-09-08T08:43:59,31.155,-81.49958,0.0,115.7
4137,338184094,2019-09-08T08:47:00,31.15499,-81.49957,0.0,115.7
4164,338184094,2019-09-08T08:49:59,31.15499,-81.49956,0.0,115.7
4197,338184094,2019-09-08T08:56:01,31.155,-81.49959,0.0,115.7
4227,338184094,2019-09-08T08:58:59,31.15501,-81.49958,0.0,115.7
4257,338184094,2019-09-08T09:01:59,31.155,-81.49957,0.0,115.7
4295,338184094,2019-09-08T09:05:01,31.15501,-81.49958,0.0,115.7
4351,338184094,2019-09-08T09:10:58,31.15501,-81.49958,0.0,115.7
4395,338184094,2019-09-08T09:14:00,31.155,-81.49958,0.0,115.7
4419,338184094,2019-09-08T09:17:02,31.15501,-81.4996,0.0,115.7
4462,338184094,2019-09-08T09:22:59,31.15501,-81.49957,0.0,115.7
4473,338184094,2019-09-08T09:19:59,31.15501,-81.49958,0.0,115.7
4504,338184094,2019-09-08T09:25:59,31.15499,-81.49959,0.0,115.7
4527,338184094,2019-09-08T09:28:59,31.155,-81.49957,0.0,115.7
