MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316001262,2020-06-01T04:20:57,49.42489,-123.44999,17.0,311.1,313.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316001262,2020-06-01T04:24:09,49.43619,-123.46346,10.9,297.0,297.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316039164,2020-06-01T04:25:25,49.356,-123.27169,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
316001247,2020-06-01T04:26:03,49.38412,-123.29066,9.5,275.7,272.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
311032100,2020-06-01T04:25:46,49.29782,-123.30215,11.4,229.0,225.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316027057,2020-06-01T04:24:45,49.37891,-123.33281,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316005498,2020-06-01T04:24:35,49.32299,-123.29958,8.0,269.0,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:23:43,49.38365,-123.28116,9.6,272.9,271.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
311032100,2020-06-01T04:24:37,49.30015,-123.29765,11.4,231.0,230.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
311032100,2020-06-01T04:23:27,49.3024,-123.29325,11.4,232.0,230.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316005498,2020-06-01T04:25:36,49.32291,-123.30302,7.7,266.3,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001262,2020-06-01T04:25:15,49.43601,-123.4677,8.0,248.3,249.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316005498,2020-06-01T04:23:07,49.32296,-123.29453,8.0,269.3,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:27:12,49.38441,-123.29533,9.5,275.1,272.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316017005,2020-06-01T04:25:12,49.37815,-123.33295,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316008039,2020-06-01T04:26:43,49.35585,-123.27314,0.0,0.0,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316005498,2020-06-01T04:26:46,49.32268,-123.30679,7.7,264.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316027057,2020-06-01T04:27:45,49.3789,-123.33281,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
311032100,2020-06-01T04:22:26,49.30435,-123.2894,11.4,231.0,230.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316017005,2020-06-01T04:28:12,49.37818,-123.33295,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316005498,2020-06-01T04:28:05,49.32246,-123.31112,7.6,266.4,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316020789,2020-06-01T04:22:28,49.35577,-123.27312,0.0,77.3,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
311032100,2020-06-01T04:28:15,49.2924,-123.31087,11.3,223.0,220.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
